t,P,T
2020-07-01 01:00:00-07:00,3.61584,15.2
2020-07-01 02:00:00-07:00,3.96148,14.2
2020-07-01 03:00:00-07:00,4.60248,13.2
2020-07-01 04:00:00-07:00,5.39665,12.1
2020-07-01 05:00:00-07:00,6.13824,11.1
2020-07-01 06:00:00-07:00,7.21965,11.8
2020-07-01 07:00:00-07:00,8.23498,12.6
2020-07-01 08:00:00-07:00,8.3191,13.3
2020-07-01 09:00:00-07:00,7.65306,15.0
2020-07-01 10:00:00-07:00,15.6957,16.6
2020-07-01 11:00:00-07:00,16.484,18.3
2020-07-01 12:00:00-07:00,16.8577,18.1
2020-07-01 13:00:00-07:00,17.1181,18.0
2020-07-01 14:00:00-07:00,17.0889,17.8
2020-07-01 15:00:00-07:00,16.3145,17.8
2020-07-01 16:00:00-07:00,14.8583,17.8
2020-07-01 17:00:00-07:00,13.2005,17.8
2020-07-01 18:00:00-07:00,3.30962,16.5
2020-07-01 19:00:00-07:00,3.51387,15.2
2020-07-01 20:00:00-07:00,4.17013,13.9
2020-07-01 21:00:00-07:00,4.4517,13.5
2020-07-01 22:00:00-07:00,4.15648,13.2
2020-07-01 23:00:00-07:00,4.00589,12.8
2020-07-02 00:00:00-07:00,3.92204,12.8
2020-07-02 01:00:00-07:00,3.93438,12.8
2020-07-02 02:00:00-07:00,4.14718,12.8
2020-07-02 03:00:00-07:00,4.68193,12.6
2020-07-02 04:00:00-07:00,5.35698,12.4
2020-07-02 05:00:00-07:00,5.99297,12.2
2020-07-02 06:00:00-07:00,7.07478,12.9
2020-07-02 07:00:00-07:00,8.36241,13.7
2020-07-02 08:00:00-07:00,8.36463,14.4
2020-07-02 09:00:00-07:00,7.68132,15.9
2020-07-02 10:00:00-07:00,15.821,17.4
2020-07-02 11:00:00-07:00,16.573,18.9
2020-07-02 12:00:00-07:00,17.0254,19.3
2020-07-02 13:00:00-07:00,17.332,19.6
2020-07-02 14:00:00-07:00,17.3752,20.0
2020-07-02 15:00:00-07:00,16.5109,19.3
2020-07-02 16:00:00-07:00,14.9518,18.5
2020-07-02 17:00:00-07:00,13.211,17.8
2020-07-02 18:00:00-07:00,3.32882,16.5
2020-07-02 19:00:00-07:00,3.61062,15.2
2020-07-02 20:00:00-07:00,4.2219,13.9
2020-07-02 21:00:00-07:00,4.5322,13.5
2020-07-02 22:00:00-07:00,4.15648,13.2
2020-07-02 23:00:00-07:00,4.00589,12.8
2020-07-03 00:00:00-07:00,3.92204,12.8
2020-07-03 01:00:00-07:00,3.93438,12.8
2020-07-03 02:00:00-07:00,4.14718,12.8
2020-07-03 03:00:00-07:00,4.62895,13.0
2020-07-03 04:00:00-07:00,5.26448,13.1
2020-07-03 05:00:00-07:00,5.84785,13.3
2020-07-03 06:00:00-07:00,7.03588,13.3
2020-07-03 07:00:00-07:00,8.51511,13.3
2020-07-03 08:00:00-07:00,9.09543,13.3
2020-07-03 09:00:00-07:00,9.32304,13.9
